trip_id,arrival_time,departure_time,stop_id,stop_sequence
20044121,6:10:00,6:10:00,0211NGR,3
20044121,6:15:00,6:15:00,0211PIO,4
20044121,6:20:00,6:20:00,0201PNG,5
20044121,6:25:00,6:25:00,0211MTG,6
20044121,6:30:00,6:30:00,0211NYS,7
20044121,6:35:00,6:35:00,0211KCA,8
20044121,6:40:00,6:40:00,0211DRV,9
20044121,6:45:00,6:45:00,0201ALS,10
20044121,6:50:00,6:50:00,0211ALS,11
20044121,6:55:00,6:55:00,0201HML,12
20044121,7:00:00,7:00:00,0211STD,13
20044121,7:05:00,7:05:00,0201RYS,14
20044121,7:10:00,7:10:00,0211RYS,15
20044121,7:15:00,7:15:00,0201SUP,16
20044121,7:20:00,7:20:00,0201GSP,17
20044121,7:25:00,7:25:00,0201BAS,18
20044121,7:30:00,7:30:00,0211BAS,19
20044121,7:35:00,7:35:00,0201CAR,20
20044121,7:40:00,7:40:00,0211CAR,21
20044121,7:45:00,7:45:00,0213ZMD,22
20044210,6:00:00,6:00:00,0213KHW,1
20044210,6:05:00,6:05:00,0210MAZ,2
20044210,6:10:00,6:10:00,0200KMT,3
20044210,6:15:00,6:15:00,0210JUN,4
20044210,6:20:00,6:20:00,0200IIM,5
20044210,6:25:00,6:25:00,0210CON,6
20044210,6:30:00,6:30:00,0200JAC,7
20044210,6:35:00,6:35:00,0210MTO,8
20044210,6:40:00,6:40:00,0200AFY,9
20044210,6:45:00,6:45:00,0200GAK,10
20044210,6:50:00,6:50:00,0210EDE,11
20044210,6:55:00,6:55:00,0200CHF,12
20044210,7:00:00,7:00:00,0200CAT,13
20044210,7:05:00,7:05:00,0210GAS,14
20044210,7:10:00,7:10:00,0200MTM,15
20044210,7:15:00,7:15:00,0210MRM,16
20044210,7:20:00,7:20:00,0202RSB,17
20044211,6:00:00,6:00:00,0202RSB,1
20044211,6:05:00,6:05:00,0201SUP,2
20044211,6:10:00,6:10:00,0201GSP,3
20044211,6:15:00,6:15:00,0201BAS,4
20044211,6:20:00,6:20:00,0211BAS,5
20044211,6:25:00,6:25:00,0201CAR,6
20044211,6:30:00,6:30:00,0201LSM,7
20044211,6:35:00,6:35:00,0211CAR,8
20044211,6:40:00,6:40:00,0201JAC,9
